中文解释,链接,Referer,年份,月份
2023年12月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2024/1/12/ffa075193860481e91acc9d3c744534a.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,12
2023年11月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/12/25/b090d19141b14e91a0784ecb76aa82fb.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,11
2023年10月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/11/13/c025e90108b143e5aaf3957a523efb66.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,10
2023年9月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/10/24/b6ef970b2ee945bb9b179a50a6e66500.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,9
2023年8月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/9/21/79b1c4dc13ea46daacf6509164d8f774.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,8
2023年7月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/8/16/ab0b7a72ff1641baa64c3822ffcbb6ca.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,7
2023年6月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/8/11/b6e4635f0a824b76946e46e9bffacf44.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,6
2023年5月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/6/27/590156249a7d473684c8a8db04879715.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,5
2023年4月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/5/23/89a32c6d9c484bdab571737d9661ae37.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,4
2023年3月四川省法定传染病疫情概况,http://wsjkw.sc.gov.cn/scwsjkw/rdts/2023/4/24/3aa144a52af74e9590c9f8c2948b173d.shtml,https://wsjkw.sc.gov.cn/guestweb4/s?searchWord=%25E6%25B3%2595%25E5%25AE%259A%25E4%25BC%25A0%25E6%259F%2593%25E7%2597%2585&column=%25E5%2585%25A8%25E9%2583%25A8&wordPlace=1&orderBy=1&startTime=&endTime=&pageSize=10&pageNum=0&timeStamp=0&siteCode=5100000053&siteCodes=&checkHandle=1&strFileType=%25E5%2585%25A8%25E9%2583%25A8%25E6%25A0%25BC%25E5%25BC%258F&sonSiteCode=&areaSearchFlag=1&secondSearchWords=&countKey=%200&left_right_index=0,2023,3
