中文解释,链接,Referer,年份,月份
"2023年12月新疆维吾尔自治区法定报告传染病疫情
2024-01-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202401/d3dcc694b2084192b967f671f97b91cd.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,12
"2023年11月新疆维吾尔自治区法定报告传染病疫情
2023-12-11",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202312/4706c7b878eb4eb383c45037049403fe.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,11
"2023年10月新疆维吾尔自治区法定报告传染病疫情
2023-11-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202311/e1e602af8ffa4cd5aaf7f4938701a35c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,10
"2023年9月新疆维吾尔自治区法定报告传染病疫情
2023-10-19",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202310/1c863103f7314877b1a27b1921c52c06.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,9
"2023年8月新疆维吾尔自治区法定报告传染病疫情
2023-09-11",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202309/659b1d33bf1e4069a82df01105c3adfb.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,8
"2023年7月新疆维吾尔自治区法定报告传染病疫情
2023-08-08",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202308/9dae2f42e54543f2966fd1eb2096273c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,7
"2023年6月新疆维吾尔自治区法定报告传染病疫情
2023-07-20",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202307/92bdb115fd9242acba00d767f83e7b48.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,6
"2023年5月新疆维吾尔自治区法定报告传染病疫情
2023-06-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202306/d7a21de5325745f6a81dd0e28d01790b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,5
"2023年4月新疆维吾尔自治区法定报告传染病疫情
2023-05-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202305/d2e0e216b7a043b2a8562a8871a6e114.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list.shtml,2023,4
"2023年3月新疆维吾尔自治区法定报告传染病疫情
2023-04-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202304/c352d50363bf4fb2adb11df7d9b3397b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_2.shtml,2023,3
"2023年2月新疆维吾尔自治区法定报告传染病疫情
2023-03-20",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202303/065be15963a044538a6831bdac773e25.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_2.shtml,2023,2
"2023年1月新疆维吾尔自治区法定报告传染病疫情
2023-02-13",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202302/4f7f0e9a28dc4bfdb5fd328f16de59f5.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_2.shtml,2023,1
"2022年12月新疆维吾尔自治区法定报告传染病疫情
2023-01-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202301/1c9e860ad02641a2b96cf01913580a97.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_2.shtml,2022,12
"2022年10月新疆维吾尔自治区法定报告传染病疫情
2022-11-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202211/77e640f270c448d0ba89df0fa0cca2d9.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_5.shtml,2022,10
"2022年9月新疆维吾尔自治区法定报告传染病疫情
2022-10-13",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202211/b7b7a03082434d58807646ec9002d936.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_5.shtml,2022,9
"2022年8月新疆维吾尔自治区法定报告传染病疫情
2022-09-16",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202209/24bf3cafe6d64555acd34a9678212156.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_6.shtml,2022,8
"2022年7月新疆维吾尔自治区法定报告传染病疫情
2022-08-31",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202209/c550a77c7d5541cc9e130fbe5578a276.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_6.shtml,2022,7
"2022年6月新疆维吾尔自治区法定报告传染病疫情
2022-07-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202207/d245e2f6385044e498b91adaa74b49b1.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_6.shtml,2022,6
"2022年5月新疆维吾尔自治区法定报告传染病疫情
2022-06-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202206/2641d33261ff4c11ad20ff1e5739b3a3.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_7.shtml,2022,5
"2022年4月新疆维吾尔自治区法定报告传染病疫情
2022-05-13",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202205/36a4d9a0532347e391a6195a9913130e.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_7.shtml,2022,4
"2022年3月新疆维吾尔自治区法定报告传染病疫情
2022-04-08",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202204/debcbc789b4046428af155b9a6d4b434.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_7.shtml,2022,3
"2022年2月新疆维吾尔自治区法定报告传染病疫情
2022-03-14",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202203/63ff5b1c88934ecf8344a4955811a9e0.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_8.shtml,2022,2
"2022年1月新疆维吾尔自治区法定报告传染病疫情
2022-02-18",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202202/23799686fc4141688b1c786c051b85c7.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_8.shtml,2022,1
"2021年12月新疆维吾尔自治区法定传染病疫情概况
2022-01-12",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202201/4c6ddc3504f4438b95a58090ef11c73a.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_8.shtml,2021,12
"2021年11月新疆维吾尔自治区法定报告传染病疫情
2021-12-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202112/b021c18e5d5c4ef8a06c428ecde4e9c6.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_8.shtml,2021,11
"2021年10月新疆维吾尔自治区法定传染病疫情概况
2021-11-11",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202111/dac7457d0c1b4da1b237b0f5c898f927.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_9.shtml,2021,10
"2021年9月新疆维吾尔自治区法定传染病疫情概况
2021-10-18",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202110/59df3f0577d44c759b39e300b43fb180.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_9.shtml,2021,9
"2021年8月新疆维吾尔自治区法定传染病疫情概况
2021-09-16",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202109/75c14ce780ac4872ab365f98132a4210.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_9.shtml,2021,8
"2021年7月新疆维吾尔自治区法定传染病疫情概况
2021-08-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202108/b7eb530c21104cbba4011424c58c09e3.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_11.shtml,2021,7
"2021年6月新疆维吾尔自治区法定传染病疫情概况
2021-07-16",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202107/f60adf8550d84b8e8ac989d6f42368db.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_12.shtml,2021,6
"2021年5月新疆维吾尔自治区法定传染病疫情概况
2021-06-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202106/66ed09f1d2104f70851bc97fdeee2cb8.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_12.shtml,2021,5
"2021年4月新疆维吾尔自治区法定传染病疫情概况
2021-05-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202105/50bafa3ae7d24e80b22ecf85273d60ff.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_12.shtml,2021,4
"2021年3月新疆维吾尔自治区法定传染病疫情概况
2021-04-08",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202104/c7ba73c65b174b188ec667270877c90d.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_13.shtml,2021,3
"2021年2月新疆维吾尔自治区法定传染病疫情概况
2021-03-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202103/618418ad4bc6417698440580d5c2a3fd.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_14.shtml,2021,2
"2020年12月新疆维吾尔自治区法定传染病疫情概况
2021-01-13",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202101/ae4c7405095549afb2e9d084be8e082c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_14.shtml,2020,12
"2020年11月新疆维吾尔自治区法定传染病疫情概况
2020-12-14",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202012/0bc2c4bf168b4382bfee220c49230fb5.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_15.shtml,2020,11
"2020年10月新疆维吾尔自治区法定传染病疫情概况
2020-11-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/2b5db15a62c34375a721cfcbf14034cb.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_15.shtml,2020,10
"2020年9月新疆维吾尔自治区法定传染病疫情概况
2020-11-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202011/731d141886ca483bbad1581ac986f028.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_15.shtml,2020,9
"2020年8月新疆维吾尔自治区法定传染病疫情概况
2020-09-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202009/a0b048afa4be4d67ba91a80de398f685.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_16.shtml,2020,8
"2020年7月新疆维吾尔自治区法定传染病疫情概况
2020-08-19",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202008/d2e1beb0a4134742add0ca42d14be96c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_16.shtml,2020,7
"2020年6月新疆维吾尔自治区法定传染病疫情概况.
2020-07-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202007/753f5dd6c360447b87ed5c29993e381b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_16.shtml,2020,6
"2020年5月新疆维吾尔自治区法定传染病疫情概况
2020-06-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202006/bfc31855cf6e441cbe27676cc78bf41b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_17.shtml,2020,5
"2020年4月新疆维吾尔自治区法定传染病疫情概况
2020-05-18",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202005/84a4fea7d85340fca3295338bae4fb07.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_17.shtml,2020,4
"2020年3月新疆维吾尔自治区法定传染病疫情概况
2020-04-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202004/30cc06b882e447acbfb48c97f0dfa005.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_17.shtml,2020,3
"2020年2月新疆维吾尔自治区法定传染病疫情概况
2020-03-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202004/779888d34cf847f3af1d284581353b99.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_17.shtml,2020,2
"2020年1月新疆维吾尔自治区法定传染病疫情概况
2020-02-04",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202004/8b7b1742f64a4e1d89b2dc66828f4f53.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_18.shtml,2020,1
"2019年12月新疆维吾尔自治区法定传染病疫情概况
2020-01-16",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/202001/133c8d9ffac24644b0e958e768cde8aa.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,12
"2019年11月新疆维吾尔自治区法定传染病疫情概况
2019-12-04",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201912/fd73a3c6acad43d69df6581af97caca9.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,11
"2019年10月新疆维吾尔自治区法定传染病疫情概况
2019-11-04",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201911/6e0f0ff9a96b470c8ccfbc4dcc5bc405.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,10
"2019年9月新疆维吾尔自治区法定传染病疫情概况
2019-10-14",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201910/5c3912663f9b4f6da4e77cb89545456e.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,9
"2019年8月新疆维吾尔自治区法定传染病疫情概况
2019-09-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201909/9fce5ee77cfc44c9b597335a4a5dd1b2.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,8
"2019年7月新疆维吾尔自治区法定传染病疫情概况
2019-08-22",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201908/b8c0e9b0940c4e3888e7f1e9d6a296e8.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,7
