中文解释,链接,Referer,年份,月份
"2019年6月新疆维吾尔自治区法定传染病疫情概况
2019-07-29",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201907/7bcda945a6e546a8b77374c6d07fddfc.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_19.shtml,2019,6
"2019年5月新疆维吾尔自治区法定传染病疫情概况
2019-06-12",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201906/29ebdb9de5bd4ccda4314673311a9dde.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2019,5
"新疆维吾尔自治区2019年4月法定报告传染病疫情通告
2019-05-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201905/4fd3b5ae80ae4fd1b5990771024b3d8b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2019,4
"新疆维吾尔自治区2019年3月法定报告传染病疫情通告
2019-05-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201905/37a1840a5fed450d9433c283ce1694ac.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2019,3
"新疆维吾尔自治区2019年2月法定报告传染病疫情通告
2019-05-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201905/d62104a84a5f4f398fdfcfbea3ebfdc3.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2019,2
"新疆维吾尔自治区2019年1月法定报告传染病疫情通告
2019-03-08",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201903/0d91ab15df9a4b3bbf6e324cdb31346b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2019,1
"新疆维吾尔自治区2018年12月法定报告传染病疫情通告
2019-02-22",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201902/9cc2c6920ddb458786f2c40e6f0dbf75.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2018,12
"新疆维吾尔自治区2018年11月法定报告传染病疫情通告
2018-12-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201812/e151e6f3083444b795e39516466a016a.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2018,11
"新疆维吾尔自治区2018年10月法定报告传染病疫情通告
2018-12-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201812/9c4e1b7981f04802b9bea2c77a3f2c7c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2018,10
"新疆维吾尔自治区2018年9月法定报告传染病疫情通告
2018-11-07",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201811/f42acc0c1a9d4950b5181ecc706eb2c0.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2018,9
"新疆维吾尔自治区2018年7月法定报告传染病疫情通告
2018-09-14",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201809/03119e65d355470ea86bc441293da5ae.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_20.shtml,2018,7
"新疆维吾尔自治区2018年8月法定报告传染病疫情通告
2018-09-14",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201809/2328e8420d75400f96e2fbc90daff2ef.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,8
"新疆维吾尔自治区2018年5月法定报告传染病疫情通告
2018-07-27",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201807/1565c582c30e4225aa66c453201cdcec.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,5
"新疆维吾尔自治区2018年4月法定报告传染病疫情通告
2018-07-27",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201807/c4fd982132104682a8ca381a67fd0f4b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,4
"新疆维吾尔自治区2018年3月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/ec08563247d94d36b7eff92826a7daf7.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,3
"新疆维吾尔自治区2018年2月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/bf83eb0e282b4d77a409f0385bb27a4b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,2
"新疆维吾尔自治区2018年1月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/62df796dcbdd4da181d9f36050b4e2fd.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2018,1
"新疆维吾尔自治区2017年12月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/34da9785311448e5838ab4a3be1a0f6d.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2017,12
"新疆维吾尔自治区2017年11月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/8172028297234e7197dc61b98c3b6df6.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2017,11
"新疆维吾尔自治区2017年10月法定报告传染病疫情通告
2018-05-17",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201805/06f7e6e0c813498c840bbb4cb1e61edc.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2017,10
"新疆维吾尔自治区2017年9月全区法定传染病疫情通告
2017-10-26",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201710/fa8820e31dee41189241f5f262768bbd.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_21.shtml,2017,9
"新疆维吾尔自治区2017年8月法定报告传染病疫情通告
2017-09-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201709/6a9ea3b27e8443fe8bb288b096ac515b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,8
"新疆维吾尔自治区2017年7月法定报告传染病疫情通告
2017-08-28",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201708/690f93d37fd145d98cf234268e1ed56c.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,7
"新疆维吾尔自治区2017年6月法定报告传染病疫情通告
2017-07-24",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201707/6fc56d4675c24d2a94f27dba7119e3be.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,6
"新疆维吾尔自治区2017年5月法定报告传染病疫情通告
2017-07-24",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201707/6a211814a65c4df7b1d8d3e0e7d61286.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,5
"新疆维吾尔自治区2017年4月法定报告传染病疫情通告
2017-05-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201705/44f4d11de4b747d69ad2b30d77aa36b9.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,4
"新疆维吾尔自治区2017年3月法定报告传染病疫情通告
2017-05-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201705/7567ac8718d9454f9ff9bb938a2cb7b1.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,3
"新疆维吾尔自治区2017年2月法定报告传染病疫情通告
2017-05-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201705/8b35bf1e2df24d28b4c3694d00e62d1a.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,2
"新疆维吾尔自治区2017年1月法定报告传染病疫情通告
2017-02-24",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201702/f3b65ea09a0a47c6a6c04105aac2fc0f.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2017,1
"新疆维吾尔自治区2016年12月法定报告传染病疫情通告
2017-01-11",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201701/5d1d64cbc8e349389d8474c7df901076.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2016,12
"新疆维吾尔自治区2016年11月法定报告传染病疫情通告
2017-01-10",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201701/c4874ee81e374b829a004021ddae8b1f.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_22.shtml,2016,11
"新疆维吾尔自治区2016年10月法定报告传染病疫情通告
2016-11-22",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201611/fdc541ebd35743fa9775c497f8dd5a37.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2016,10
"新疆维吾尔自治区2016年5月法定报告传染病疫情通告
2016-06-29",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201606/d4db576d1d4d4154b06575c59b7f1def.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2016,5
"新疆维吾尔自治区2016年4月法定报告传染病疫情通告
2016-06-06",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201606/f3c68a490a2c4428b4d91f525b4929d1.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2016,4
"新疆维吾尔自治区2016年3月法定报告传染病疫情通告
2016-04-21",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201604/85968a2b8fe348d6ba23f9238483b99b.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2016,3
"新疆维吾尔自治区2016年2月法定报告传染病疫情通告
2016-03-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201603/5075b2a96d9f40ee83334f4bcbf08dbf.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2016,2
"新疆维吾尔自治区2015年11月法定报告传染病疫情通告
2015-12-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201512/b0eb5faceac4419aa11e20c93877164e.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2015,11
"新疆维吾尔自治区2015年9月法定报告传染病疫情通告
2015-11-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201511/04a79614b3214ddab98f3ac8028aae80.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2015,9
"新疆维吾尔自治区2015年7月法定报告传染病疫情通告
2015-11-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201511/dfe8e433007e4b65ae8dcdff6315f07f.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2015,7
"新疆维吾尔自治区2015年5月法定报告传染病疫情通告
2015-11-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201511/e5eee1e2f9d14117bdc43af8cfa64425.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2015,5
"新疆维吾尔自治区2015年8月法定报告传染病疫情通告
2015-09-22",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201509/1989ba539dd14a35831878e0a749eb31.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_23.shtml,2015,8
"新疆维吾尔自治区2015年6月法定报告传染病疫情通告
2015-07-22",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201507/52feb4df484340fd8e1992979ef40226.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_24.shtml,2015,6
"新疆维吾尔自治区2015年4月法定报告传染病疫情通告
2015-05-09",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201505/d7040188d9ce41cf93bf5c1f06a292f1.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_24.shtml,2015,4
"新疆维吾尔自治区2015年3月法定报告传染病疫情通告
2015-04-15",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201504/7426af2f8d354215b099e846b9429da0.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_24.shtml,2015,3
"新疆维吾尔自治区2015年1月法定报告传染病疫情通告
2015-02-03",https://wjw.xinjiang.gov.cn//hfpc/jbjcypj/201502/67eec89ac79d43618b62fc0372922ef9.shtml,https://wjw.xinjiang.gov.cn/hfpc/jbjcypj/nav_list_24.shtml,2015,1
