"year","month","disease_en","province","value","date","value_norm","out_label"
2008,1,"Gonorrhea","Anhui",0,"2008.01",-0.491568555849236,""
2008,1,"Gonorrhea","Beijing",214,"2008.01",2.63780441792364,""
2008,1,"Gonorrhea","Chongqing",317,"2008.01",2.04198852340109,""
2008,1,"Gonorrhea","Fujian",450,"2008.01",-0.204735802561922,""
2008,1,"Gonorrhea","Gansu",79,"2008.01",-0.00301465266745382,""
2008,1,"Gonorrhea","Guangdong",1733,"2008.01",-0.255954953312021,""
2008,1,"Gonorrhea","Guangxi",842,"2008.01",2.28685437077724,""
2008,1,"Gonorrhea","Guizhou",147,"2008.01",-0.308045299369097,""
2008,1,"Gonorrhea","Hainan",69,"2008.01",-0.826799581884972,""
2008,1,"Gonorrhea","Hebei",78,"2008.01",-0.5618928642628,""
2008,1,"Gonorrhea","Heilongjiang",195,"2008.01",2.17982940843537,""
2008,1,"Gonorrhea","Henan",0,"2008.01",-0.448513692933243,""
2008,1,"Gonorrhea","Hubei",294,"2008.01",0.919310999312246,""
2008,1,"Gonorrhea","Hunan",238,"2008.01",-0.219142472268838,""
2008,1,"Gonorrhea","Jiangsu",1219,"2008.01",3.00644894555277,""
2008,1,"Gonorrhea","Jiangxi",341,"2008.01",0.922254954171997,""
2008,1,"Gonorrhea","Jilin",130,"2008.01",0.218316619821377,""
2008,1,"Gonorrhea","Liaoning",204,"2008.01",0.29187303174354,""
2008,1,"Gonorrhea","Neimenggu",168,"2008.01",0.438314235229867,""
2008,1,"Gonorrhea","Ningxia",78,"2008.01",1.82192847443113,""
2008,1,"Gonorrhea","Qinghai",19,"2008.01",0.511382198598266,""
2008,1,"Gonorrhea","Shaanxi",153,"2008.01",0.532743400412177,""
2008,1,"Gonorrhea","Shandong",282,"2008.01",-0.0813402425702924,""
2008,1,"Gonorrhea","Shanghai",757,"2008.01",2.1783854509161,""
2008,1,"Gonorrhea","Shanxi",129,"2008.01",0.964509356625919,""
2008,1,"Gonorrhea","Sichuan",621,"2008.01",3.14478269623255,""
2008,1,"Gonorrhea","Tianjin",59,"2008.01",2.36194176451468,""
2008,1,"Gonorrhea","Xinjiang",262,"2008.01",2.286759224889,""
2008,1,"Gonorrhea","Xizang",4,"2008.01",-0.367754295021129,""
2008,1,"Gonorrhea","Yunnan",176,"2008.01",-0.666521220847527,""
2008,1,"Gonorrhea","Zhejiang",1940,"2008.01",1.83720295712925,""
2008,2,"Gonorrhea","Anhui",0,"2008.02",-0.491568555849236,""
2008,2,"Gonorrhea","Beijing",157,"2008.02",1.04415331830569,""
2008,2,"Gonorrhea","Chongqing",212,"2008.02",0.125712594834908,""
2008,2,"Gonorrhea","Fujian",325,"2008.02",-1.68010466803031,""
2008,2,"Gonorrhea","Gansu",69,"2008.02",-0.425066026111001,""
