"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"AHC",9,"Anhui",-0.568034263843871,""
"2008.01",2008,1,"AHC",20,"Beijing",0.396177904382377,""
"2008.01",2008,1,"AHC",17,"Chongqing",-0.208631949464991,""
"2008.01",2008,1,"AHC",14,"Fujian",-0.183604347037099,""
"2008.01",2008,1,"AHC",6,"Gansu",-1.43179703658079,""
"2008.01",2008,1,"AHC",119,"Guangdong",-0.172143016568882,""
"2008.01",2008,1,"AHC",77,"Guangxi",-0.156723544003855,""
"2008.01",2008,1,"AHC",19,"Guizhou",-0.467754525998768,""
"2008.01",2008,1,"AHC",8,"Hainan",-0.203276830266413,""
"2008.01",2008,1,"AHC",63,"Hebei",-1.39991676364413,""
"2008.01",2008,1,"AHC",0,"Heilongjiang",-0.942496353146437,""
"2008.01",2008,1,"AHC",10,"Henan",-1.26513133465214,""
"2008.01",2008,1,"AHC",36,"Hubei",-0.185177288386468,""
"2008.01",2008,1,"AHC",11,"Hunan",-0.219128782751808,""
"2008.01",2008,1,"AHC",24,"Inner Mongolia",1.11238802012471,""
"2008.01",2008,1,"AHC",8,"Jiangsu",-0.249835967969709,""
"2008.01",2008,1,"AHC",4,"Jiangxi",-0.251280022495511,""
"2008.01",2008,1,"AHC",1,"Jilin",-0.644084857129783,""
"2008.01",2008,1,"AHC",1,"Liaoning",-1.24252860653097,""
"2008.01",2008,1,"AHC",0,"Ningxia",-1.57501196508885,""
"2008.01",2008,1,"AHC",0,"Qinghai",-1.14944985752775,""
"2008.01",2008,1,"AHC",5,"Shaanxi",-0.485020160686567,""
"2008.01",2008,1,"AHC",1,"Shandong",-0.771481811711825,""
"2008.01",2008,1,"AHC",4,"Shanghai",-0.0773281144079395,""
"2008.01",2008,1,"AHC",13,"Shanxi",-0.977413457842329,""
"2008.01",2008,1,"AHC",75,"Sichuan",-0.0838927562684652,""
"2008.01",2008,1,"AHC",7,"Tianjin",0.612953205150087,""
"2008.01",2008,1,"AHC",0,"Tibet",-0.493237789579474,""
