"year","month","disease_en","province","value","date","value_norm","out_label"
2008,1,"JE","Anhui",0,"2008.01",-0.146993595097577,""
2008,1,"JE","Beijing",0,"2008.01",-0.153364301855905,""
2008,1,"JE","Chongqing",0,"2008.01",-0.286254592154032,""
2008,1,"JE","Fujian",0,"2008.01",-0.253615474965442,""
2008,1,"JE","Gansu",0,"2008.01",-0.208267325982857,""
2008,1,"JE","Guangdong",0,"2008.01",-0.360655152728823,""
2008,1,"JE","Guangxi",0,"2008.01",-0.330943150131083,""
2008,1,"JE","Guizhou",0,"2008.01",-0.293115370127707,""
2008,1,"JE","Hainan",0,"2008.01",-0.327329494031559,""
2008,1,"JE","Hebei",0,"2008.01",-0.22987973707155,""
2008,1,"JE","Heilongjiang",0,"2008.01",-0.216052569496628,""
2008,1,"JE","Henan",0,"2008.01",-0.192200399889548,""
2008,1,"JE","Hubei",0,"2008.01",-0.236324335042686,""
2008,1,"JE","Hunan",0,"2008.01",-0.342238989995644,""
2008,1,"JE","Jiangsu",0,"2008.01",-0.271838198028185,""
2008,1,"JE","Jiangxi",0,"2008.01",-0.294210707541158,""
2008,1,"JE","Jilin",0,"2008.01",-0.113594730968311,""
2008,1,"JE","Liaoning",0,"2008.01",-0.102287692313706,""
2008,1,"JE","Neimenggu",0,"2008.01",-0.170090357068448,""
2008,1,"JE","Ningxia",0,"2008.01",-0.113731803868047,""
2008,1,"JE","Qinghai",0,"2008.01",-0.113594730968311,""
2008,1,"JE","Shaanxi",0,"2008.01",-0.340392516248789,""
2008,1,"JE","Shandong",0,"2008.01",-0.299336353977967,""
2008,1,"JE","Shanghai",0,"2008.01",-0.255967740238247,""
2008,1,"JE","Shanxi",0,"2008.01",-0.336096448680152,""
2008,1,"JE","Sichuan",0,"2008.01",-0.312938242674372,""
2008,1,"JE","Tianjin",0,"2008.01",-0.150744757455948,""
2008,1,"JE","Xinjiang",0,"2008.01",-0.207970698883768,""
2008,1,"JE","Xizang",0,"2008.01",-0.139578479125877,""
2008,1,"JE","Yunnan",0,"2008.01",-0.481327984750629,""
2008,1,"JE","Zhejiang",0,"2008.01",-0.253365455185552,""
2008,2,"JE","Anhui",0,"2008.02",-0.146993595097577,""
2008,2,"JE","Beijing",0,"2008.02",-0.153364301855905,""
2008,2,"JE","Chongqing",0,"2008.02",-0.286254592154032,""
2008,2,"JE","Fujian",0,"2008.02",-0.253615474965442,""
2008,2,"JE","Gansu",0,"2008.02",-0.208267325982857,""
