"date","year","month","disease_en","value","province","value_norm","Date","out_label"
2008-01-01,2008,1,"HFRS",15,"Anhui",0.0468903802799246,"2008.01",""
2008-01-01,2008,1,"HFRS",1,"Beijing",-0.0891027968024798,"2008.01",""
2008-01-01,2008,1,"HFRS",1,"Chongqing",0.0214099754919482,"2008.01",""
2008-01-01,2008,1,"HFRS",5,"Fujian",-1.81492180529293,"2008.01",""
2008-01-01,2008,1,"HFRS",0,"Gansu",-0.350224710597501,"2008.01",""
2008-01-01,2008,1,"HFRS",23,"Guangdong",-0.16297843264402,"2008.01",""
2008-01-01,2008,1,"HFRS",2,"Guangxi",1.14172824935714,"2008.01",""
2008-01-01,2008,1,"HFRS",3,"Guizhou",-0.750539562970046,"2008.01",""
2008-01-01,2008,1,"HFRS",0,"Hainan",-0.359998141949869,"2008.01",""
2008-01-01,2008,1,"HFRS",20,"Hebei",-0.686188376930445,"2008.01",""
2008-01-01,2008,1,"HFRS",187,"Heilongjiang",0.778806572543829,"2008.01",""
2008-01-01,2008,1,"HFRS",17,"Henan",-0.057281945150765,"2008.01",""
2008-01-01,2008,1,"HFRS",11,"Hubei",-0.652970556340145,"2008.01",""
2008-01-01,2008,1,"HFRS",38,"Hunan",-0.525830443536734,"2008.01",""
2008-01-01,2008,1,"HFRS",4,"Inner Mongolia",-0.731417171219775,"2008.01",""
2008-01-01,2008,1,"HFRS",31,"Jiangsu",0.47605618267315,"2008.01",""
2008-01-01,2008,1,"HFRS",23,"Jiangxi",-0.782524212548089,"2008.01",""
2008-01-01,2008,1,"HFRS",63,"Jilin",0.353809874992534,"2008.01",""
2008-01-01,2008,1,"HFRS",61,"Liaoning",-0.477804208909711,"2008.01",""
2008-01-01,2008,1,"HFRS",0,"Ningxia",-0.308466930528071,"2008.01",""
2008-01-01,2008,1,"HFRS",0,"Qinghai",-0.203638618950629,"2008.01",""
2008-01-01,2008,1,"HFRS",57,"Shaanxi",-0.466014930270897,"2008.01",""
2008-01-01,2008,1,"HFRS",48,"Shandong",-0.56996603909621,"2008.01",""
2008-01-01,2008,1,"HFRS",1,"Shanghai",1.6259493371028,"2008.01",""
2008-01-01,2008,1,"HFRS",6,"Shanxi",2.04419415204284,"2008.01",""
2008-01-01,2008,1,"HFRS",7,"Sichuan",-0.398639244122747,"2008.01",""
2008-01-01,2008,1,"HFRS",1,"Tianjin",-0.467368793976334,"2008.01",""
2008-01-01,2008,1,"HFRS",0,"Tibet",-0.189553558693073,"2008.01",""
2008-01-01,2008,1,"HFRS",1,"Xinjiang",2.85295028904602,"2008.01",""
2008-01-01,2008,1,"HFRS",2,"Yunnan",-0.926616822694817,"2008.01",""
2008-01-01,2008,1,"HFRS",47,"Zhejiang",0.819566345207924,"2008.01",""
2008-02-01,2008,2,"HFRS",5,"Anhui",-0.818778178734069,"2008.02",""
2008-02-01,2008,2,"HFRS",2,"Beijing",0.683121442152345,"2008.02",""
2008-02-01,2008,2,"HFRS",0,"Chongqing",-0.936686427772733,"2008.02",""
2008-02-01,2008,2,"HFRS",12,"Fujian",-1.2586785800951,"2008.02",""
2008-02-01,2008,2,"HFRS",0,"Gansu",-0.350224710597501,"2008.02",""
2008-02-01,2008,2,"HFRS",24,"Guangdong",-0.0935951531148584,"2008.02",""
