"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Pertussis",4,"Anhui",-0.353302810521276,""
"2008.01",2008,1,"Pertussis",0,"Beijing",-0.806336369004567,""
"2008.01",2008,1,"Pertussis",0,"Chongqing",-0.565404901788679,""
"2008.01",2008,1,"Pertussis",2,"Fujian",-0.255715823615353,""
"2008.01",2008,1,"Pertussis",4,"Gansu",-0.494419192332998,""
"2008.01",2008,1,"Pertussis",2,"Guangdong",-0.462572992738433,""
"2008.01",2008,1,"Pertussis",2,"Guangxi",-0.254671291774116,""
"2008.01",2008,1,"Pertussis",6,"Guizhou",-0.339072141493557,""
"2008.01",2008,1,"Pertussis",0,"Hainan",-0.322996271588844,""
"2008.01",2008,1,"Pertussis",7,"Hebei",-0.897244188677259,""
"2008.01",2008,1,"Pertussis",1,"Heilongjiang",-0.662162326930764,""
"2008.01",2008,1,"Pertussis",3,"Henan",-0.34271383326649,""
"2008.01",2008,1,"Pertussis",3,"Hubei",-0.415729611754452,""
"2008.01",2008,1,"Pertussis",4,"Hunan",-0.388604473060418,""
"2008.01",2008,1,"Pertussis",0,"Inner Mongolia",-0.454315144283824,""
"2008.01",2008,1,"Pertussis",2,"Jiangsu",-0.362144381517709,""
"2008.01",2008,1,"Pertussis",2,"Jiangxi",-0.39786256795359,""
"2008.01",2008,1,"Pertussis",0,"Jilin",-0.495200021007717,""
"2008.01",2008,1,"Pertussis",0,"Liaoning",-0.517659622411433,""
"2008.01",2008,1,"Pertussis",1,"Ningxia",0.0576030421155654,""
"2008.01",2008,1,"Pertussis",0,"Qinghai",-0.445695614126787,""
"2008.01",2008,1,"Pertussis",2,"Shaanxi",-0.629345341295399,""
"2008.01",2008,1,"Pertussis",0,"Shandong",-0.664619398185991,""
"2008.01",2008,1,"Pertussis",1,"Shanghai",-0.282354318183974,""
"2008.01",2008,1,"Pertussis",0,"Shanxi",-0.82825113293643,""
"2008.01",2008,1,"Pertussis",29,"Sichuan",-0.388217787575052,""
"2008.01",2008,1,"Pertussis",0,"Tianjin",-0.938750673932119,""
"2008.01",2008,1,"Pertussis",0,"Tibet",-0.30350085634356,""
"2008.01",2008,1,"Pertussis",62,"Xinjiang",0.924574414741995,""
"2008.01",2008,1,"Pertussis",4,"Yunnan",-0.142237912495102,""
