"date","year","month","disease_en","value","province","value_norm","Date","out_label"
2008-01-01,2008,1,"Dysentery",292,"Anhui",-0.653140482066041,"2008.01",""
2008-01-01,2008,1,"Dysentery",1024,"Beijing",-0.0452830371859396,"2008.01",""
2008-01-01,2008,1,"Dysentery",337,"Chongqing",-0.670282401816783,"2008.01",""
2008-01-01,2008,1,"Dysentery",107,"Fujian",0.65779098380687,"2008.01",""
2008-01-01,2008,1,"Dysentery",349,"Gansu",-0.464171228189259,"2008.01",""
2008-01-01,2008,1,"Dysentery",459,"Guangdong",0.81092139223776,"2008.01",""
2008-01-01,2008,1,"Dysentery",396,"Guangxi",0.135737018138635,"2008.01",""
2008-01-01,2008,1,"Dysentery",500,"Guizhou",0.188812828528973,"2008.01",""
2008-01-01,2008,1,"Dysentery",60,"Hainan",0.391555437567592,"2008.01",""
2008-01-01,2008,1,"Dysentery",668,"Hebei",-0.422007365195743,"2008.01",""
2008-01-01,2008,1,"Dysentery",336,"Heilongjiang",0.082262952006763,"2008.01",""
2008-01-01,2008,1,"Dysentery",641,"Henan",-0.552165407503058,"2008.01",""
2008-01-01,2008,1,"Dysentery",647,"Hubei",0.157789035104568,"2008.01",""
2008-01-01,2008,1,"Dysentery",271,"Hunan",-0.602004062085353,"2008.01",""
2008-01-01,2008,1,"Dysentery",122,"Inner Mongolia",-0.27651985847234,"2008.01",""
2008-01-01,2008,1,"Dysentery",355,"Jiangsu",0.0554717623014149,"2008.01",""
2008-01-01,2008,1,"Dysentery",349,"Jiangxi",-0.388696708727245,"2008.01",""
2008-01-01,2008,1,"Dysentery",255,"Jilin",0.461994406627629,"2008.01",""
2008-01-01,2008,1,"Dysentery",348,"Liaoning",-0.255957999693112,"2008.01",""
2008-01-01,2008,1,"Dysentery",58,"Ningxia",-0.523391136802995,"2008.01",""
2008-01-01,2008,1,"Dysentery",45,"Qinghai",-0.598546977944435,"2008.01",""
2008-01-01,2008,1,"Dysentery",368,"Shaanxi",-0.428237504193006,"2008.01",""
2008-01-01,2008,1,"Dysentery",359,"Shandong",-0.395385513541675,"2008.01",""
2008-01-01,2008,1,"Dysentery",50,"Shanghai",0.106379554817142,"2008.01",""
2008-01-01,2008,1,"Dysentery",292,"Shanxi",-0.198384493328327,"2008.01",""
2008-01-01,2008,1,"Dysentery",848,"Sichuan",0.253808404966974,"2008.01",""
2008-01-01,2008,1,"Dysentery",269,"Tianjin",-0.883725888114641,"2008.01",""
2008-01-01,2008,1,"Dysentery",52,"Tibet",-0.483170945634776,"2008.01",""
2008-01-01,2008,1,"Dysentery",233,"Xinjiang",-0.336985578862598,"2008.01",""
2008-01-01,2008,1,"Dysentery",288,"Yunnan",-0.552573977135166,"2008.01",""
2008-01-01,2008,1,"Dysentery",456,"Zhejiang",0.400327851459206,"2008.01",""
2008-02-01,2008,2,"Dysentery",266,"Anhui",-0.699960857241573,"2008.02",""
2008-02-01,2008,2,"Dysentery",828,"Beijing",-0.243532485209607,"2008.02",""
2008-02-01,2008,2,"Dysentery",438,"Chongqing",-0.356278578681273,"2008.02",""
2008-02-01,2008,2,"Dysentery",88,"Fujian",0.317886437781144,"2008.02",""
2008-02-01,2008,2,"Dysentery",313,"Gansu",-0.527641894888076,"2008.02",""
2008-02-01,2008,2,"Dysentery",438,"Guangdong",0.715721652726837,"2008.02",""
2008-02-01,2008,2,"Dysentery",314,"Guangxi",-0.189604547540476,"2008.02",""
2008-02-01,2008,2,"Dysentery",623,"Guizhou",0.503768975083258,"2008.02",""
2008-02-01,2008,2,"Dysentery",35,"Hainan",-0.274122943650198,"2008.02",""
2008-02-01,2008,2,"Dysentery",620,"Hebei",-0.486013667617978,"2008.02",""
2008-02-01,2008,2,"Dysentery",282,"Heilongjiang",-0.153365442316587,"2008.02",""
2008-02-01,2008,2,"Dysentery",579,"Henan",-0.645042637633611,"2008.02",""
2008-02-01,2008,2,"Dysentery",578,"Hubei",-0.00195900607917626,"2008.02",""
2008-02-01,2008,2,"Dysentery",293,"Hunan",-0.544994654478584,"2008.02",""
2008-02-01,2008,2,"Dysentery",100,"Inner Mongolia",-0.471710346805757,"2008.02",""
2008-02-01,2008,2,"Dysentery",302,"Jiangsu",-0.117046774733792,"2008.02",""
2008-02-01,2008,2,"Dysentery",264,"Jiangxi",-0.677297322295936,"2008.02",""
2008-02-01,2008,2,"Dysentery",165,"Jilin",-0.0647985332775046,"2008.02",""
2008-02-01,2008,2,"Dysentery",256,"Liaoning",-0.521615304552494,"2008.02",""
2008-02-01,2008,2,"Dysentery",61,"Ningxia",-0.505736022775043,"2008.02",""
2008-02-01,2008,2,"Dysentery",26,"Qinghai",-1.04723014502266,"2008.02",""
2008-02-01,2008,2,"Dysentery",279,"Shaanxi",-0.612513019711856,"2008.02",""
2008-02-01,2008,2,"Dysentery",346,"Shandong",-0.422438206573474,"2008.02",""
2008-02-01,2008,2,"Dysentery",37,"Shanghai",-0.0595725506975992,"2008.02",""
2008-02-01,2008,2,"Dysentery",178,"Shanxi",-0.617196201465907,"2008.02",""
2008-02-01,2008,2,"Dysentery",786,"Sichuan",0.14217171960166,"2008.02",""
2008-02-01,2008,2,"Dysentery",235,"Tianjin",-0.950500093347988,"2008.02",""
2008-02-01,2008,2,"Dysentery",27,"Tibet",-0.85345325806858,"2008.02",""
2008-02-01,2008,2,"Dysentery",225,"Xinjiang",-0.349127209345884,"2008.02",""
2008-02-01,2008,2,"Dysentery",211,"Yunnan",-0.810772857336964,"2008.02",""
2008-02-01,2008,2,"Dysentery",424,"Zhejiang",0.306476088330601,"2008.02",""
2008-03-01,2008,3,"Dysentery",340,"Anhui",-0.566702866357367,"2008.03",""
2008-03-01,2008,3,"Dysentery",1021,"Beijing",-0.0483174675128325,"2008.03",""
2008-03-01,2008,3,"Dysentery",559,"Chongqing",0.0199042193325569,"2008.03",""
2008-03-01,2008,3,"Dysentery",95,"Fujian",0.443114428422201,"2008.03",""
2008-03-01,2008,3,"Dysentery",563,"Gansu",-0.0868733761462964,"2008.03",""
2008-03-01,2008,3,"Dysentery",503,"Guangdong",1.01038751311779,"2008.03",""
2008-03-01,2008,3,"Dysentery",433,"Guangxi",0.28253748070116,"2008.03",""
2008-03-01,2008,3,"Dysentery",786,"Guizhou",0.921149884744628,"2008.03",""
