"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Rubella",134,"Anhui",0.193000832407289,""
"2008.01",2008,1,"Rubella",26,"Beijing",-0.155470211081651,""
"2008.01",2008,1,"Rubella",44,"Chongqing",-0.245776383313285,""
"2008.01",2008,1,"Rubella",37,"Fujian",-0.292515290533701,""
"2008.01",2008,1,"Rubella",69,"Gansu",-0.124959176109184,""
"2008.01",2008,1,"Rubella",42,"Guangdong",-0.420505197284251,""
"2008.01",2008,1,"Rubella",32,"Guangxi",-0.253475658059462,""
"2008.01",2008,1,"Rubella",24,"Guizhou",-0.260015762672749,""
"2008.01",2008,1,"Rubella",114,"Hainan",1.95161558940049,""
"2008.01",2008,1,"Rubella",161,"Hebei",0.157520623432424,""
"2008.01",2008,1,"Rubella",36,"Heilongjiang",-0.0629115789941406,""
"2008.01",2008,1,"Rubella",81,"Henan",0.26753403262094,""
"2008.01",2008,1,"Rubella",86,"Hubei",-0.0348590081873556,""
"2008.01",2008,1,"Rubella",69,"Hunan",-0.298180174156278,""
"2008.01",2008,1,"Rubella",12,"Inner Mongolia",-0.291633281066123,""
"2008.01",2008,1,"Rubella",7,"Jiangsu",-0.438440714904092,""
"2008.01",2008,1,"Rubella",47,"Jiangxi",-0.12901365131615,""
"2008.01",2008,1,"Rubella",148,"Jilin",0.12192222421644,""
"2008.01",2008,1,"Rubella",66,"Liaoning",-0.26165710621363,""
"2008.01",2008,1,"Rubella",14,"Ningxia",-0.225565169345265,""
"2008.01",2008,1,"Rubella",31,"Qinghai",0.233227346042673,""
"2008.01",2008,1,"Rubella",24,"Shaanxi",-0.348645866540978,""
"2008.01",2008,1,"Rubella",35,"Shandong",0.0526025009774393,""
"2008.01",2008,1,"Rubella",7,"Shanghai",-0.290295875694807,""
"2008.01",2008,1,"Rubella",50,"Shanxi",-0.0318344951321447,""
"2008.01",2008,1,"Rubella",156,"Sichuan",0.249740630013829,""
"2008.01",2008,1,"Rubella",117,"Tianjin",0.203047617228293,""
"2008.01",2008,1,"Rubella",1,"Tibet",-0.262125207996884,""
"2008.01",2008,1,"Rubella",453,"Xinjiang",1.94448027127635,""
"2008.01",2008,1,"Rubella",1086,"Yunnan",2.63154253716202,""
"2008.01",2008,1,"Rubella",362,"Zhejiang",0.184391262464964,""
"2008.02",2008,2,"Rubella",26,"Anhui",-0.316881351411993,""
"2008.02",2008,2,"Rubella",59,"Beijing",0.313399529192714,""
"2008.02",2008,2,"Rubella",46,"Chongqing",-0.238946081712124,""
"2008.02",2008,2,"Rubella",15,"Fujian",-0.437212966681245,""
"2008.02",2008,2,"Rubella",236,"Gansu",0.490426929721825,""
"2008.02",2008,2,"Rubella",26,"Guangdong",-0.525591202891507,""
"2008.02",2008,2,"Rubella",60,"Guangxi",-0.134192995443245,""
"2008.02",2008,2,"Rubella",11,"Guizhou",-0.346220105765824,""
"2008.02",2008,2,"Rubella",52,"Hainan",0.695056810231171,""
"2008.02",2008,2,"Rubella",144,"Hebei",0.0948338447195203,""
"2008.02",2008,2,"Rubella",24,"Heilongjiang",-0.146259403394021,""
