"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Mumps",1644,"Anhui",0.674794927840948,""
"2008.01",2008,1,"Mumps",209,"Beijing",-0.028001493503766,""
"2008.01",2008,1,"Mumps",507,"Chongqing",-0.422198195380744,""
"2008.01",2008,1,"Mumps",334,"Fujian",-0.292475958632964,""
"2008.01",2008,1,"Mumps",943,"Gansu",0.709961930509039,""
"2008.01",2008,1,"Mumps",1122,"Guangdong",-0.670093355091956,""
"2008.01",2008,1,"Mumps",1116,"Guangxi",-0.303965421539405,""
"2008.01",2008,1,"Mumps",1168,"Guizhou",1.01270319895283,""
"2008.01",2008,1,"Mumps",118,"Hainan",-0.845441762843654,""
"2008.01",2008,1,"Mumps",922,"Hebei",-0.201222501074576,""
"2008.01",2008,1,"Mumps",467,"Heilongjiang",0.957882862170449,""
"2008.01",2008,1,"Mumps",1887,"Henan",0.764888221624717,""
"2008.01",2008,1,"Mumps",779,"Hubei",-0.588739057150007,""
"2008.01",2008,1,"Mumps",410,"Hunan",-1.1036262405757,""
"2008.01",2008,1,"Mumps",310,"Inner Mongolia",0.0276903809590426,""
"2008.01",2008,1,"Mumps",1166,"Jiangsu",0.526433141367769,""
"2008.01",2008,1,"Mumps",534,"Jiangxi",-0.367362794619772,""
"2008.01",2008,1,"Mumps",545,"Jilin",0.983368037804021,""
"2008.01",2008,1,"Mumps",1052,"Liaoning",0.815830032112054,""
"2008.01",2008,1,"Mumps",205,"Ningxia",-0.245943298981443,""
"2008.01",2008,1,"Mumps",124,"Qinghai",-0.00760697882116908,""
"2008.01",2008,1,"Mumps",549,"Shaanxi",-0.503519988209395,""
"2008.01",2008,1,"Mumps",1106,"Shandong",0.436135904785363,""
"2008.01",2008,1,"Mumps",202,"Shanghai",-0.079667927245289,""
"2008.01",2008,1,"Mumps",498,"Shanxi",-0.0865694923952266,""
"2008.01",2008,1,"Mumps",2229,"Sichuan",1.3065005710235,""
"2008.01",2008,1,"Mumps",611,"Tianjin",4.00205018527338,""
"2008.01",2008,1,"Mumps",60,"Tibet",-0.120218485524751,""
"2008.01",2008,1,"Mumps",26544,"Total",0.251039594967713,""
"2008.01",2008,1,"Mumps",2669,"Xinjiang",4.75622821693181,""
"2008.01",2008,1,"Mumps",853,"Yunnan",-0.0549425439931838,""
"2008.01",2008,1,"Mumps",2205,"Zhejiang",1.34514850756625,""
"2008.02",2008,2,"Mumps",760,"Anhui",-0.359864212251996,""
"2008.02",2008,2,"Mumps",205,"Beijing",-0.0670908267170769,""
"2008.02",2008,2,"Mumps",224,"Chongqing",-0.850835640935545,""
"2008.02",2008,2,"Mumps",166,"Fujian",-0.644818405144235,""
"2008.02",2008,2,"Mumps",306,"Gansu",-0.548419339765325,""
