"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Hepatitis A",122,"Anhui",2.02511631470869,""
"2008.01",2008,1,"Hepatitis A",32,"Beijing",3.15991620314804,""
"2008.01",2008,1,"Hepatitis A",141,"Chongqing",1.7007390321487,""
"2008.01",2008,1,"Hepatitis A",109,"Fujian",2.5186805096019,""
"2008.01",2008,1,"Hepatitis A",369,"Gansu",2.08899684187174,""
"2008.01",2008,1,"Hepatitis A",135,"Guangdong",0.252758568102453,""
"2008.01",2008,1,"Hepatitis A",101,"Guangxi",0.644351705234214,""
"2008.01",2008,1,"Hepatitis A",234,"Guizhou",0.746323228492575,""
"2008.01",2008,1,"Hepatitis A",39,"Hainan",2.85640487269459,""
"2008.01",2008,1,"Hepatitis A",89,"Hebei",1.9044784617687,""
"2008.01",2008,1,"Hepatitis A",45,"Heilongjiang",2.30303150319256,""
"2008.01",2008,1,"Hepatitis A",348,"Henan",2.13507850035344,""
"2008.01",2008,1,"Hepatitis A",167,"Hubei",1.79211285686575,""
"2008.01",2008,1,"Hepatitis A",92,"Hunan",0.966119361895232,""
"2008.01",2008,1,"Hepatitis A",54,"Inner Mongolia",2.27724645406326,""
"2008.01",2008,1,"Hepatitis A",137,"Jiangsu",1.75766649497277,""
"2008.01",2008,1,"Hepatitis A",107,"Jiangxi",1.35432608998932,""
"2008.01",2008,1,"Hepatitis A",40,"Jilin",1.83800536555644,""
"2008.01",2008,1,"Hepatitis A",118,"Liaoning",-0.124329307812541,""
"2008.01",2008,1,"Hepatitis A",131,"Ningxia",3.33965755385778,""
"2008.01",2008,1,"Hepatitis A",87,"Qinghai",2.30899750323636,""
"2008.01",2008,1,"Hepatitis A",76,"Shaanxi",1.21480164875927,""
"2008.01",2008,1,"Hepatitis A",53,"Shandong",1.01684198963733,""
"2008.01",2008,1,"Hepatitis A",27,"Shanghai",1.08606392434902,""
"2008.01",2008,1,"Hepatitis A",70,"Shanxi",-0.527700664148842,""
"2008.01",2008,1,"Hepatitis A",407,"Sichuan",1.6137536647246,""
"2008.01",2008,1,"Hepatitis A",10,"Tianjin",1.91926187678885,""
"2008.01",2008,1,"Hepatitis A",55,"Tibet",2.88469346353152,""
"2008.01",2008,1,"Hepatitis A",4578,"Total",2.2676199404408,""
"2008.01",2008,1,"Hepatitis A",719,"Xinjiang",2.75769371427872,""
"2008.01",2008,1,"Hepatitis A",330,"Yunnan",1.41214790521625,""
"2008.01",2008,1,"Hepatitis A",134,"Zhejiang",2.87261568561244,""
"2008.02",2008,2,"Hepatitis A",125,"Anhui",2.12452546736526,""
"2008.02",2008,2,"Hepatitis A",21,"Beijing",1.50219189724708,""
"2008.02",2008,2,"Hepatitis A",145,"Chongqing",1.8110605711067,""
"2008.02",2008,2,"Hepatitis A",68,"Fujian",0.678017742301426,""
"2008.02",2008,2,"Hepatitis A",263,"Gansu",1.17575624385892,""
"2008.02",2008,2,"Hepatitis A",97,"Guangdong",-1.31671080455755,""
"2008.02",2008,2,"Hepatitis A",100,"Guangxi",0.61837112471818,""
"2008.02",2008,2,"Hepatitis A",224,"Guizhou",0.686915929969848,""
"2008.02",2008,2,"Hepatitis A",58,"Hainan",4.87125114653247,""
"2008.02",2008,2,"Hepatitis A",99,"Hebei",2.37036938232055,""
"2008.02",2008,2,"Hepatitis A",34,"Heilongjiang",1.13965144447062,""
"2008.02",2008,2,"Hepatitis A",285,"Henan",1.60040909503924,""
"2008.02",2008,2,"Hepatitis A",153,"Hubei",1.45932019642915,""
"2008.02",2008,2,"Hepatitis A",74,"Hunan",0.359350592447276,""
"2008.02",2008,2,"Hepatitis A",31,"Inner Mongolia",0.549812991657557,""
"2008.02",2008,2,"Hepatitis A",150,"Jiangsu",2.10113803590598,""
"2008.02",2008,2,"Hepatitis A",101,"Jiangxi",1.21674749000777,""
"2008.02",2008,2,"Hepatitis A",42,"Jilin",2.02658072696835,""
"2008.02",2008,2,"Hepatitis A",182,"Liaoning",0.467331230414538,""
"2008.02",2008,2,"Hepatitis A",99,"Ningxia",2.3227883553913,""
"2008.02",2008,2,"Hepatitis A",68,"Qinghai",1.34275881912051,""
"2008.02",2008,2,"Hepatitis A",63,"Shaanxi",0.758491638815985,""
"2008.02",2008,2,"Hepatitis A",63,"Shandong",1.70517848039304,""
"2008.02",2008,2,"Hepatitis A",17,"Shanghai",-0.162584419812727,""
"2008.02",2008,2,"Hepatitis A",64,"Shanxi",-0.760246719536467,""
"2008.02",2008,2,"Hepatitis A",378,"Sichuan",1.37110884267857,""
"2008.02",2008,2,"Hepatitis A",8,"Tianjin",1.30001709337818,""
"2008.02",2008,2,"Hepatitis A",44,"Tibet",2.08705666310934,""
"2008.02",2008,2,"Hepatitis A",3828,"Total",1.53424311770248,""
"2008.02",2008,2,"Hepatitis A",411,"Xinjiang",1.14967352527909,""
"2008.02",2008,2,"Hepatitis A",258,"Yunnan",0.839787726543152,""
"2008.02",2008,2,"Hepatitis A",103,"Zhejiang",1.77622748275899,""
"2008.03",2008,3,"Hepatitis A",221,"Anhui",5.30561835237553,""
"2008.03",2008,3,"Hepatitis A",28,"Beijing",2.5571073646386,""
"2008.03",2008,3,"Hepatitis A",197,"Chongqing",3.24524057756078,""
"2008.03",2008,3,"Hepatitis A",103,"Fujian",2.24931522658232,""
"2008.03",2008,3,"Hepatitis A",306,"Gansu",1.54622176946789,""
"2008.03",2008,3,"Hepatitis A",136,"Guangdong",0.294060393698769,""
"2008.03",2008,3,"Hepatitis A",140,"Guangxi",1.65759434535956,""
"2008.03",2008,3,"Hepatitis A",505,"Guizhou",2.3562610184585,""
"2008.03",2008,3,"Hepatitis A",45,"Hainan",3.49267211706445,""
"2008.03",2008,3,"Hepatitis A",120,"Hebei",3.34874031547945,""
"2008.03",2008,3,"Hepatitis A",64,"Heilongjiang",4.31250615007591,""
"2008.03",2008,3,"Hepatitis A",348,"Henan",2.13507850035344,""
"2008.03",2008,3,"Hepatitis A",222,"Hubei",3.09951259429523,""
"2008.03",2008,3,"Hepatitis A",172,"Hunan",3.66286944833059,""
"2008.03",2008,3,"Hepatitis A",58,"Inner Mongolia",2.57766966491643,""
"2008.03",2008,3,"Hepatitis A",230,"Jiangsu",4.21480905703338,""
"2008.03",2008,3,"Hepatitis A",161,"Jiangxi",2.59253348982328,""
"2008.03",2008,3,"Hepatitis A",38,"Jilin",1.64943000414453,""
"2008.03",2008,3,"Hepatitis A",365,"Liaoning",2.15911058190759,""
"2008.03",2008,3,"Hepatitis A",95,"Ningxia",2.19567970558298,""
"2008.03",2008,3,"Hepatitis A",76,"Qinghai",1.74959615980087,""
"2008.03",2008,3,"Hepatitis A",114,"Shaanxi",2.54863090859349,""
"2008.03",2008,3,"Hepatitis A",85,"Shandong",3.21951876005561,""
"2008.03",2008,3,"Hepatitis A",27,"Shanghai",1.08606392434902,""
"2008.03",2008,3,"Hepatitis A",112,"Shanxi",1.10012172356454,""
"2008.03",2008,3,"Hepatitis A",473,"Sichuan",2.16597981145005,""
"2008.03",2008,3,"Hepatitis A",5,"Tianjin",0.371149918262167,""
"2008.03",2008,3,"Hepatitis A",35,"Tibet",1.43444473549118,""
"2008.03",2008,3,"Hepatitis A",5505,"Total",3.17407369334536,""
"2008.03",2008,3,"Hepatitis A",348,"Xinjiang",0.820760304801895,""
"2008.03",2008,3,"Hepatitis A",490,"Yunnan",2.68405941337869,""
"2008.03",2008,3,"Hepatitis A",186,"Zhejiang",4.71171847749565,""
"2008.04",2008,4,"Hepatitis A",179,"Anhui",3.91389021518354,""
"2008.04",2008,4,"Hepatitis A",22,"Beijing",1.65289410687444,""
"2008.04",2008,4,"Hepatitis A",221,"Chongqing",3.90716981130881,""
"2008.04",2008,4,"Hepatitis A",105,"Fujian",2.33910365425551,""
"2008.04",2008,4,"Hepatitis A",287,"Gansu",1.38252770001277,""
"2008.04",2008,4,"Hepatitis A",149,"Guangdong",0.830984126450875,""
"2008.04",2008,4,"Hepatitis A",131,"Guangxi",1.42376912071525,""
"2008.04",2008,4,"Hepatitis A",969,"Guizhou",5.11275966991306,""
"2008.04",2008,4,"Hepatitis A",27,"Hainan",1.58387038395488,""
"2008.04",2008,4,"Hepatitis A",117,"Hebei",3.20897303931389,""
"2008.04",2008,4,"Hepatitis A",43,"Heilongjiang",2.09150785615221,""
"2008.04",2008,4,"Hepatitis A",305,"Henan",1.7701454141866,""
"2008.04",2008,4,"Hepatitis A",189,"Hubei",2.31507275183754,""
"2008.04",2008,4,"Hepatitis A",148,"Hunan",2.85384442239998,""
"2008.04",2008,4,"Hepatitis A",50,"Inner Mongolia",1.9768232432101,""
"2008.04",2008,4,"Hepatitis A",168,"Jiangsu",2.57671401565964,""
"2008.04",2008,4,"Hepatitis A",208,"Jiangxi",3.67023252301209,""
"2008.04",2008,4,"Hepatitis A",45,"Jilin",2.30944376908621,""
"2008.04",2008,4,"Hepatitis A",244,"Liaoning",1.04050237682202,""
"2008.04",2008,4,"Hepatitis A",73,"Ningxia",1.49658213163727,""
"2008.04",2008,4,"Hepatitis A",73,"Qinghai",1.59703215704573,""
"2008.04",2008,4,"Hepatitis A",105,"Shaanxi",2.23272397863276,""
"2008.04",2008,4,"Hepatitis A",71,"Shandong",2.25584767299761,""
"2008.04",2008,4,"Hepatitis A",41,"Shanghai",2.83417160617547,""
"2008.04",2008,4,"Hepatitis A",88,"Shanxi",0.169937502014034,""
"2008.04",2008,4,"Hepatitis A",474,"Sichuan",2.17434687427922,""
"2008.04",2008,4,"Hepatitis A",2,"Tianjin",-0.557717256853844,""
"2008.04",2008,4,"Hepatitis A",34,"Tibet",1.36193229908917,""
"2008.04",2008,4,"Hepatitis A",5449,"Total",3.1193148905809,""
"2008.04",2008,4,"Hepatitis A",260,"Xinjiang",0.361325965087715,""
"2008.04",2008,4,"Hepatitis A",481,"Yunnan",2.61251439104456,""
"2008.04",2008,4,"Hepatitis A",140,"Zhejiang",3.08481985390666,""
"2008.05",2008,5,"Hepatitis A",146,"Anhui",2.82038953596126,""
"2008.05",2008,5,"Hepatitis A",35,"Beijing",3.61202283203011,""
"2008.05",2008,5,"Hepatitis A",199,"Chongqing",3.30040134703978,""
"2008.05",2008,5,"Hepatitis A",102,"Fujian",2.20442101274572,""
"2008.05",2008,5,"Hepatitis A",280,"Gansu",1.32221935863456,""
"2008.05",2008,5,"Hepatitis A",197,"Guangdong",2.81347175507404,""
"2008.05",2008,5,"Hepatitis A",244,"Guangxi",4.35957471902714,""
"2008.05",2008,5,"Hepatitis A",1002,"Guizhou",5.30880375503806,""
"2008.05",2008,5,"Hepatitis A",43,"Hainan",3.28058303560783,""
"2008.05",2008,5,"Hepatitis A",118,"Hebei",3.25556213136907,""
"2008.05",2008,5,"Hepatitis A",40,"Heilongjiang",1.77422238559168,""
"2008.05",2008,5,"Hepatitis A",293,"Henan",1.66830362269818,""
"2008.05",2008,5,"Hepatitis A",190,"Hubei",2.33884365615444,""
"2008.05",2008,5,"Hepatitis A",132,"Hunan",2.31449440511291,""
"2008.05",2008,5,"Hepatitis A",63,"Inner Mongolia",2.95319867848289,""
"2008.05",2008,5,"Hepatitis A",172,"Jiangsu",2.68239756671601,""
"2008.05",2008,5,"Hepatitis A",221,"Jiangxi",3.96831948963879,""
"2008.05",2008,5,"Hepatitis A",58,"Jilin",3.5351836182636,""
"2008.05",2008,5,"Hepatitis A",223,"Liaoning",0.84636376271626,""
"2008.05",2008,5,"Hepatitis A",63,"Ningxia",1.1788105071165,""
"2008.05",2008,5,"Hepatitis A",63,"Qinghai",1.08848548119529,""
"2008.05",2008,5,"Hepatitis A",101,"Shaanxi",2.09232089865021,""
"2008.05",2008,5,"Hepatitis A",54,"Shandong",1.0856756387129,""
"2008.05",2008,5,"Hepatitis A",32,"Shanghai",1.71038809642989,""
"2008.05",2008,5,"Hepatitis A",76,"Shanxi",-0.295154608761217,""
"2008.05",2008,5,"Hepatitis A",522,"Sichuan",2.57596589007955,""
"2008.05",2008,5,"Hepatitis A",3,"Tianjin",-0.248094865148507,""
"2008.05",2008,5,"Hepatitis A",38,"Tibet",1.65198204469723,""
"2008.05",2008,5,"Hepatitis A",5824,"Total",3.48600330195005,""
"2008.05",2008,5,"Hepatitis A",230,"Xinjiang",0.204700622003335,""
"2008.05",2008,5,"Hepatitis A",759,"Yunnan",4.8224606364768,""
"2008.05",2008,5,"Hepatitis A",125,"Zhejiang",2.55430943317112,""
"2008.06",2008,6,"Hepatitis A",134,"Anhui",2.42275292533497,""
"2008.06",2008,6,"Hepatitis A",28,"Beijing",2.5571073646386,""
"2008.06",2008,6,"Hepatitis A",174,"Chongqing",2.61089172855225,""
"2008.06",2008,6,"Hepatitis A",83,"Fujian",1.35143094985038,""
"2008.06",2008,6,"Hepatitis A",330,"Gansu",1.75299322562174,""
"2008.06",2008,6,"Hepatitis A",180,"Guangdong",2.11134071993667,""
"2008.06",2008,6,"Hepatitis A",261,"Guangxi",4.80124458779973,""
"2008.06",2008,6,"Hepatitis A",709,"Guizhou",3.56816990832214,""
"2008.06",2008,6,"Hepatitis A",31,"Hainan",2.00804854686812,""
