"year","month","disease_en","province","value","date","value_norm","out_label"
2021,1,"Typhus","Anhui",4,"2021.01",-0.669446656731571,""
2021,1,"Typhus","Chongqing",NA,"2021.01",NA,NA
2021,1,"Typhus","Gansu",NA,"2021.01",NA,NA
2021,1,"Typhus","Guangdong",NA,"2021.01",NA,NA
2021,1,"Typhus","Henan",1,"2021.01",0.0987463994637891,""
2021,1,"Typhus","Jiangsu",NA,"2021.01",NA,NA
2021,1,"Typhus","Shandong",0,"2021.01",-0.878376992164666,""
2021,1,"Typhus","Shanghai",0,"2021.01",NA,NA
2021,1,"Typhus","Sichuan",7,"2021.01",-0.619242921072502,""
2021,1,"Typhus","Xinjiang",0,"2021.01",-0.246296091535945,""
2021,1,"Typhus","Zhejiang",0,"2021.01",-0.928190961784514,""
2021,2,"Typhus","Anhui",0,"2021.02",-1.00186154835001,""
2021,2,"Typhus","Chongqing",NA,"2021.02",NA,NA
2021,2,"Typhus","Gansu",NA,"2021.02",NA,NA
2021,2,"Typhus","Guangdong",NA,"2021.02",NA,NA
2021,2,"Typhus","Henan",0,"2021.02",-0.765284595844365,""
2021,2,"Typhus","Jiangsu",NA,"2021.02",NA,NA
2021,2,"Typhus","Shandong",0,"2021.02",-0.878376992164666,""
2021,2,"Typhus","Shanghai",0,"2021.02",NA,NA
2021,2,"Typhus","Sichuan",4,"2021.02",-0.999232895366992,""
2021,2,"Typhus","Xinjiang",0,"2021.02",-0.246296091535945,""
2021,2,"Typhus","Zhejiang",0,"2021.02",-0.928190961784514,""
2021,3,"Typhus","Anhui",1,"2021.03",-0.918757825445397,""
2021,3,"Typhus","Chongqing",NA,"2021.03",NA,NA
2021,3,"Typhus","Gansu",NA,"2021.03",NA,NA
2021,3,"Typhus","Guangdong",NA,"2021.03",NA,NA
2021,3,"Typhus","Henan",0,"2021.03",-0.765284595844365,""
2021,3,"Typhus","Jiangsu",NA,"2021.03",NA,NA
2021,3,"Typhus","Shandong",0,"2021.03",-0.878376992164666,""
2021,3,"Typhus","Shanghai",0,"2021.03",NA,NA
2021,3,"Typhus","Sichuan",5,"2021.03",-0.872569570602162,""
2021,3,"Typhus","Xinjiang",0,"2021.03",-0.246296091535945,""
2021,3,"Typhus","Zhejiang",0,"2021.03",-0.928190961784514,""
2021,4,"Typhus","Anhui",27,"2021.04",1.24193897007443,""
2021,4,"Typhus","Chongqing",NA,"2021.04",NA,NA
2021,4,"Typhus","Gansu",NA,"2021.04",NA,NA
2021,4,"Typhus","Guangdong",NA,"2021.04",NA,NA
2021,4,"Typhus","Henan",0,"2021.04",-0.765284595844365,""
2021,4,"Typhus","Jiangsu",NA,"2021.04",NA,NA
2021,4,"Typhus","Shandong",3,"2021.04",-0.234233864577244,""
2021,4,"Typhus","Shanghai",0,"2021.04",NA,NA
2021,4,"Typhus","Sichuan",10,"2021.04",-0.239252946778012,""
2021,4,"Typhus","Xinjiang",0,"2021.04",-0.246296091535945,""
2021,4,"Typhus","Zhejiang",0,"2021.04",-0.928190961784514,""
2021,5,"Typhus","Anhui",32,"2021.05",1.65745758459747,""
2021,5,"Typhus","Chongqing",NA,"2021.05",NA,NA
2021,5,"Typhus","Gansu",NA,"2021.05",NA,NA
2021,5,"Typhus","Guangdong",NA,"2021.05",NA,NA
