"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Malaria",35,"Anhui",-0.205168261148331,""
"2008.01",2008,1,"Malaria",0,"Beijing",-1.53128364773556,""
"2008.01",2008,1,"Malaria",3,"Chongqing",0.220352767576836,""
"2008.01",2008,1,"Malaria",2,"Fujian",-1.03258021541191,""
"2008.01",2008,1,"Malaria",1,"Gansu",-0.393514481690905,""
"2008.01",2008,1,"Malaria",8,"Guangdong",-0.365434060274581,""
"2008.01",2008,1,"Malaria",5,"Guangxi",-0.329294392078359,""
"2008.01",2008,1,"Malaria",5,"Guizhou",-0.268688770988955,""
"2008.01",2008,1,"Malaria",122,"Hainan",2.31841101579803,""
"2008.01",2008,1,"Malaria",3,"Hebei",-0.51606494170306,""
"2008.01",2008,1,"Malaria",1,"Heilongjiang",0.122829336878894,""
"2008.01",2008,1,"Malaria",17,"Henan",-0.270752774760036,""
"2008.01",2008,1,"Malaria",28,"Hubei",0.197652963695842,""
"2008.01",2008,1,"Malaria",4,"Hunan",-1.28445556920097,""
"2008.01",2008,1,"Malaria",0,"Inner Mongolia",-0.630663563029849,""
"2008.01",2008,1,"Malaria",17,"Jiangsu",-0.298377244136149,""
"2008.01",2008,1,"Malaria",1,"Jiangxi",-0.986515564415936,""
"2008.01",2008,1,"Malaria",0,"Jilin",-0.954291078670306,""
"2008.01",2008,1,"Malaria",2,"Liaoning",-0.676565093120934,""
"2008.01",2008,1,"Malaria",1,"Ningxia",1.18121882671287,""
"2008.01",2008,1,"Malaria",0,"Qinghai",-0.338538831584107,""
"2008.01",2008,1,"Malaria",3,"Shaanxi",-0.532533762632579,""
"2008.01",2008,1,"Malaria",8,"Shandong",-0.63428242245892,""
"2008.01",2008,1,"Malaria",2,"Shanghai",-0.211243102318305,""
"2008.01",2008,1,"Malaria",0,"Shanxi",-0.873259097622151,""
"2008.01",2008,1,"Malaria",6,"Sichuan",-1.06544868002066,""
"2008.01",2008,1,"Malaria",0,"Tianjin",-0.901718350297434,""
"2008.01",2008,1,"Malaria",0,"Tibet",-0.373404812797399,""
"2008.01",2008,1,"Malaria",446,"Total",-0.0533502229365924,""
"2008.01",2008,1,"Malaria",0,"Xinjiang",-0.613968979463009,""
"2008.01",2008,1,"Malaria",163,"Yunnan",0.715028599554505,""
"2008.01",2008,1,"Malaria",9,"Zhejiang",-0.373467117189532,""
"2008.02",2008,2,"Malaria",49,"Anhui",-0.171431655901698,""
"2008.02",2008,2,"Malaria",3,"Beijing",0.0198868006199422,""
"2008.02",2008,2,"Malaria",1,"Chongqing",-0.765725867329504,""
"2008.02",2008,2,"Malaria",0,"Fujian",-1.5112801072522,""
"2008.02",2008,2,"Malaria",0,"Gansu",-0.820033403781692,""
"2008.02",2008,2,"Malaria",6,"Guangdong",-0.66085864794919,""
"2008.02",2008,2,"Malaria",3,"Guangxi",-0.36914693293501,""
"2008.02",2008,2,"Malaria",7,"Guizhou",-0.228901919281051,""
"2008.02",2008,2,"Malaria",93,"Hainan",1.67632399801595,""
"2008.02",2008,2,"Malaria",0,"Hebei",-1.44498183676857,""
