"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"HFMD",5,"Anhui",-1.1897091787586,""
"2008.01",2008,1,"HFMD",70,"Beijing",-0.857383338423427,""
"2008.01",2008,1,"HFMD",47,"Chongqing",-0.840202347424797,""
"2008.01",2008,1,"HFMD",52,"Fujian",-1.14139449722857,""
"2008.01",2008,1,"HFMD",0,"Gansu",-0.869030856994549,""
"2008.01",2008,1,"HFMD",70,"Guangdong",-0.9221050323245,""
"2008.01",2008,1,"HFMD",8,"Guangxi",-0.98149600475423,""
"2008.01",2008,1,"HFMD",0,"Guizhou",-1.08304632760242,""
"2008.01",2008,1,"HFMD",2,"Hainan",-1.09410826909349,""
"2008.01",2008,1,"HFMD",22,"Hebei",-0.807869046287356,""
"2008.01",2008,1,"HFMD",3,"Heilongjiang",-0.578946458573989,""
"2008.01",2008,1,"HFMD",47,"Henan",-0.851106563973318,""
"2008.01",2008,1,"HFMD",62,"Hubei",-1.11781472914827,""
"2008.01",2008,1,"HFMD",8,"Hunan",-1.06357342069055,""
"2008.01",2008,1,"HFMD",8,"Inner Mongolia",-0.860909354619109,""
"2008.01",2008,1,"HFMD",72,"Jiangsu",-1.19651817691409,""
"2008.01",2008,1,"HFMD",7,"Jiangxi",-1.18716311215969,""
"2008.01",2008,1,"HFMD",2,"Jilin",-0.692746301524627,""
"2008.01",2008,1,"HFMD",9,"Liaoning",-0.665282536316457,""
"2008.01",2008,1,"HFMD",0,"Ningxia",-0.832058257051137,""
"2008.01",2008,1,"HFMD",0,"Qinghai",-0.68420626318736,""
"2008.01",2008,1,"HFMD",15,"Shaanxi",-0.909996524579206,""
"2008.01",2008,1,"HFMD",237,"Shandong",-0.847199643699683,""
"2008.01",2008,1,"HFMD",426,"Shanghai",-0.899958756703001,""
"2008.01",2008,1,"HFMD",2,"Shanxi",-0.882125443640051,""
"2008.01",2008,1,"HFMD",254,"Sichuan",-1.07858461770132,""
"2008.01",2008,1,"HFMD",6,"Tianjin",-0.740926212229867,""
"2008.01",2008,1,"HFMD",0,"Tibet",-0.808627760779332,""
"2008.01",2008,1,"HFMD",1600,"Total",-1.26442239348888,""
"2008.01",2008,1,"HFMD",1,"Xinjiang",-0.743279383634312,""
"2008.01",2008,1,"HFMD",9,"Yunnan",-1.29001373010063,""
"2008.01",2008,1,"HFMD",156,"Zhejiang",-1.011456691026,""
"2008.02",2008,2,"HFMD",4,"Anhui",-1.18988081610063,""
"2008.02",2008,2,"HFMD",24,"Beijing",-0.874519733761295,""
"2008.02",2008,2,"HFMD",9,"Chongqing",-0.849873164464869,""
"2008.02",2008,2,"HFMD",11,"Fujian",-1.14992140027459,""
"2008.02",2008,2,"HFMD",1,"Gansu",-0.868018962261527,""
"2008.02",2008,2,"HFMD",13,"Guangdong",-0.924225811012771,""
"2008.02",2008,2,"HFMD",1,"Guangxi",-0.981960807041737,""
"2008.02",2008,2,"HFMD",1,"Guizhou",-1.08265278429162,""
"2008.02",2008,2,"HFMD",0,"Hainan",-1.09486970027141,""
"2008.02",2008,2,"HFMD",12,"Hebei",-0.809514738080426,""
"2008.02",2008,2,"HFMD",1,"Heilongjiang",-0.580181992101182,""
"2008.02",2008,2,"HFMD",13,"Henan",-0.856147262880782,""
"2008.02",2008,2,"HFMD",9,"Hubei",-1.12788671246634,""
"2008.02",2008,2,"HFMD",2,"Hunan",-1.06418211747524,""
"2008.02",2008,2,"HFMD",1,"Inner Mongolia",-0.86558474273035,""
"2008.02",2008,2,"HFMD",10,"Jiangsu",-1.20489410371228,""
"2008.02",2008,2,"HFMD",1,"Jiangxi",-1.18935090992536,""
"2008.02",2008,2,"HFMD",2,"Jilin",-0.692746301524627,""
"2008.02",2008,2,"HFMD",1,"Liaoning",-0.667814858899563,""
"2008.02",2008,2,"HFMD",0,"Ningxia",-0.832058257051137,""
"2008.02",2008,2,"HFMD",0,"Qinghai",-0.68420626318736,""
"2008.02",2008,2,"HFMD",2,"Shaanxi",-0.91305759926662,""
"2008.02",2008,2,"HFMD",96,"Shandong",-0.864443833554407,""
"2008.02",2008,2,"HFMD",66,"Shanghai",-1.03906197138346,""
"2008.02",2008,2,"HFMD",3,"Shanxi",-0.881685476605366,""
"2008.02",2008,2,"HFMD",43,"Sichuan",-1.12124341564951,""
"2008.02",2008,2,"HFMD",2,"Tianjin",-0.743426633834762,""
"2008.02",2008,2,"HFMD",0,"Tibet",-0.808627760779332,""
"2008.02",2008,2,"HFMD",376,"Total",-1.27493424215057,""
"2008.02",2008,2,"HFMD",0,"Xinjiang",-0.744696773763287,""
"2008.02",2008,2,"HFMD",8,"Yunnan",-1.29025602557648,""
"2008.02",2008,2,"HFMD",40,"Zhejiang",-1.0230154635079,""
"2008.03",2008,3,"HFMD",74,"Anhui",-1.17786620215812,""
"2008.03",2008,3,"HFMD",148,"Beijing",-0.828325972415739,""
"2008.03",2008,3,"HFMD",33,"Chongqing",-0.843765280018508,""
"2008.03",2008,3,"HFMD",66,"Fujian",-1.13848287179822,""
"2008.03",2008,3,"HFMD",0,"Gansu",-0.869030856994549,""
"2008.03",2008,3,"HFMD",61,"Guangdong",-0.922439892117385,""
"2008.03",2008,3,"HFMD",5,"Guangxi",-0.98169520573459,""
"2008.03",2008,3,"HFMD",3,"Guizhou",-1.08186569767002,""
"2008.03",2008,3,"HFMD",0,"Hainan",-1.09486970027141,""
"2008.03",2008,3,"HFMD",25,"Hebei",-0.807375338749435,""
"2008.03",2008,3,"HFMD",7,"Heilongjiang",-0.576475391519602,""
"2008.03",2008,3,"HFMD",39,"Henan",-0.852292610775074,""
"2008.03",2008,3,"HFMD",38,"Hubei",-1.12237562725457,""
"2008.03",2008,3,"HFMD",8,"Hunan",-1.06357342069055,""
"2008.03",2008,3,"HFMD",6,"Inner Mongolia",-0.862245179793749,""
"2008.03",2008,3,"HFMD",41,"Jiangsu",-1.20070614031319,""
"2008.03",2008,3,"HFMD",7,"Jiangxi",-1.18716311215969,""
"2008.03",2008,3,"HFMD",11,"Jilin",-0.687025873309126,""
"2008.03",2008,3,"HFMD",15,"Liaoning",-0.663383294379128,""
"2008.03",2008,3,"HFMD",0,"Ningxia",-0.832058257051137,""
"2008.03",2008,3,"HFMD",0,"Qinghai",-0.68420626318736,""
"2008.03",2008,3,"HFMD",21,"Shaanxi",-0.908583720877323,""
"2008.03",2008,3,"HFMD",262,"Shandong",-0.844142163228987,""
"2008.03",2008,3,"HFMD",201,"Shanghai",-0.986898265878289,""
"2008.03",2008,3,"HFMD",5,"Shanxi",-0.880805542535994,""
"2008.03",2008,3,"HFMD",198,"Sichuan",-1.08990638398141,""
"2008.03",2008,3,"HFMD",12,"Tianjin",-0.737175579822526,""
"2008.03",2008,3,"HFMD",0,"Tibet",-0.808627760779332,""
"2008.03",2008,3,"HFMD",1430,"Total",-1.26588237246967,""
"2008.03",2008,3,"HFMD",2,"Xinjiang",-0.741861993505337,""
"2008.03",2008,3,"HFMD",21,"Yunnan",-1.28710618439048,""
"2008.03",2008,3,"HFMD",121,"Zhejiang",-1.01494425168864,""
"2008.04",2008,4,"HFMD",3934,"Anhui",-0.515346061899429,""
"2008.04",2008,4,"HFMD",895,"Beijing",-0.550045813342112,""
"2008.04",2008,4,"HFMD",151,"Chongqing",-0.813734848157234,""
"2008.04",2008,4,"HFMD",312,"Fujian",-1.08732145352206,""
"2008.04",2008,4,"HFMD",6,"Gansu",-0.86295948859642,""
"2008.04",2008,4,"HFMD",1073,"Guangdong",-0.884786768739666,""
"2008.04",2008,4,"HFMD",106,"Guangxi",-0.974988772729135,""
"2008.04",2008,4,"HFMD",171,"Guizhou",-1.01575042145564,""
"2008.04",2008,4,"HFMD",12,"Hainan",-1.09030111320393,""
"2008.04",2008,4,"HFMD",268,"Hebei",-0.767385028177837,""
"2008.04",2008,4,"HFMD",52,"Heilongjiang",-0.548675887157752,""
"2008.04",2008,4,"HFMD",676,"Henan",-0.757853634185239,""
"2008.04",2008,4,"HFMD",445,"Hubei",-1.0450303968686,""
"2008.04",2008,4,"HFMD",247,"Hunan",-1.03932699876691,""
"2008.04",2008,4,"HFMD",41,"Inner Mongolia",-0.838868239237543,""
"2008.04",2008,4,"HFMD",405,"Jiangsu",-1.15153134427218,""
"2008.04",2008,4,"HFMD",76,"Jiangxi",-1.16200343785448,""
"2008.04",2008,4,"HFMD",41,"Jilin",-0.667957779257456,""
"2008.04",2008,4,"HFMD",143,"Liaoning",-0.622866133049433,""
"2008.04",2008,4,"HFMD",7,"Ningxia",-0.820830899193537,""
"2008.04",2008,4,"HFMD",0,"Qinghai",-0.68420626318736,""
"2008.04",2008,4,"HFMD",115,"Shaanxi",-0.886449796214486,""
"2008.04",2008,4,"HFMD",1368,"Shandong",-0.708879227205411,""
"2008.04",2008,4,"HFMD",934,"Shanghai",-0.703668664876128,""
"2008.04",2008,4,"HFMD",54,"Shanxi",-0.859247157836402,""
"2008.04",2008,4,"HFMD",466,"Sichuan",-1.03572364535528,""
"2008.04",2008,4,"HFMD",64,"Tianjin",-0.704670098958895,""
"2008.04",2008,4,"HFMD",0,"Tibet",-0.808627760779332,""
"2008.04",2008,4,"HFMD",13037,"Total",-1.16620016052832,""
"2008.04",2008,4,"HFMD",10,"Xinjiang",-0.73052287247354,""
"2008.04",2008,4,"HFMD",134,"Yunnan",-1.25972679561993,""
"2008.04",2008,4,"HFMD",831,"Zhejiang",-0.944196592532154,""
"2008.05",2008,5,"HFMD",9665,"Anhui",0.468307545308483,""
"2008.05",2008,5,"HFMD",6581,"Beijing",1.56816166255166,""
"2008.05",2008,5,"HFMD",1628,"Chongqing",-0.43784545952078,""
"2008.05",2008,5,"HFMD",3204,"Fujian",-0.485862828909647,""
"2008.05",2008,5,"HFMD",1086,"Gansu",0.229886823066869,""
"2008.05",2008,5,"HFMD",25908,"Guangdong",0.0392402264042549,""
"2008.05",2008,5,"HFMD",10333,"Guangxi",-0.295912630681731,""
"2008.05",2008,5,"HFMD",2935,"Guizhou",0.072003289595191,""
"2008.05",2008,5,"HFMD",1604,"Hainan",-0.484201895585314,""
"2008.05",2008,5,"HFMD",12766,"Hebei",1.28940057480087,""
"2008.05",2008,5,"HFMD",1576,"Heilongjiang",0.392800660563572,""
"2008.05",2008,5,"HFMD",7643,"Henan",0.275044874294169,""
"2008.05",2008,5,"HFMD",10621,"Hubei",0.888790400201588,""
"2008.05",2008,5,"HFMD",11559,"Hunan",0.108269339309096,""
"2008.05",2008,5,"HFMD",833,"Inner Mongolia",-0.309881470079956,""
"2008.05",2008,5,"HFMD",8057,"Jiangsu",-0.117779862662949,""
"2008.05",2008,5,"HFMD",2657,"Jiangxi",-0.220885765655517,""
"2008.05",2008,5,"HFMD",900,"Jilin",-0.121974686244627,""
"2008.05",2008,5,"HFMD",2419,"Liaoning",0.0975796418442018,""
"2008.05",2008,5,"HFMD",237,"Ningxia",-0.451931998158113,""
"2008.05",2008,5,"HFMD",230,"Qinghai",0.271652504213741,""
"2008.05",2008,5,"HFMD",3800,"Shaanxi",-0.0187528559745691,""
"2008.05",2008,5,"HFMD",12339,"Shandong",0.63286550255468,""
"2008.05",2008,5,"HFMD",6486,"Shanghai",1.44161202375143,""
"2008.05",2008,5,"HFMD",4936,"Shanxi",1.28867190549854,""
"2008.05",2008,5,"HFMD",3611,"Sichuan",-0.399885164089672,""
"2008.05",2008,5,"HFMD",1494,"Tianjin",0.189230624790936,""
