"date","year","month","disease_en","value","province","value_norm","Date","out_label"
2008-01-01,2008,1,"Syphilis",423,"Anhui",-1.7741321484589,"2008.01",""
2008-01-01,2008,1,"Syphilis",324,"Beijing",-0.88064860443107,"2008.01",""
2008-01-01,2008,1,"Syphilis",605,"Chongqing",-1.3247799509444,"2008.01",""
2008-01-01,2008,1,"Syphilis",1306,"Fujian",-1.23255088360866,"2008.01",""
2008-01-01,2008,1,"Syphilis",163,"Gansu",-1.62831666305656,"2008.01",""
2008-01-01,2008,1,"Syphilis",2369,"Guangdong",-1.68934160113917,"2008.01",""
2008-01-01,2008,1,"Syphilis",2008,"Guangxi",0.438158930481984,"2008.01",""
2008-01-01,2008,1,"Syphilis",212,"Guizhou",-1.4952537045572,"2008.01",""
2008-01-01,2008,1,"Syphilis",138,"Hainan",-1.3032438881163,"2008.01",""
2008-01-01,2008,1,"Syphilis",130,"Hebei",-1.71205287987583,"2008.01",""
2008-01-01,2008,1,"Syphilis",495,"Heilongjiang",-1.42391048985028,"2008.01",""
2008-01-01,2008,1,"Syphilis",545,"Henan",-1.99283395359598,"2008.01",""
2008-01-01,2008,1,"Syphilis",332,"Hubei",-2.1755401846433,"2008.01",""
2008-01-01,2008,1,"Syphilis",499,"Hunan",-1.90413901534975,"2008.01",""
2008-01-01,2008,1,"Syphilis",282,"Inner Mongolia",-1.85706094116194,"2008.01",""
2008-01-01,2008,1,"Syphilis",1430,"Jiangsu",-1.50119931624603,"2008.01",""
2008-01-01,2008,1,"Syphilis",394,"Jiangxi",-1.19615064848151,"2008.01",""
2008-01-01,2008,1,"Syphilis",324,"Jilin",-1.04147364601535,"2008.01",""
2008-01-01,2008,1,"Syphilis",575,"Liaoning",-2.04327816322442,"2008.01",""
2008-01-01,2008,1,"Syphilis",79,"Ningxia",-1.71186268067258,"2008.01",""
2008-01-01,2008,1,"Syphilis",80,"Qinghai",-1.44621546114078,"2008.01",""
2008-01-01,2008,1,"Syphilis",184,"Shaanxi",-1.88505325296855,"2008.01",""
2008-01-01,2008,1,"Syphilis",336,"Shandong",-1.62584709873138,"2008.01",""
2008-01-01,2008,1,"Syphilis",1088,"Shanghai",0.176167086443399,"2008.01",""
2008-01-01,2008,1,"Syphilis",355,"Shanxi",-1.89184015466854,"2008.01",""
2008-01-01,2008,1,"Syphilis",726,"Sichuan",-1.60374360387604,"2008.01",""
2008-01-01,2008,1,"Syphilis",261,"Tianjin",0.277564731306002,"2008.01",""
2008-01-01,2008,1,"Syphilis",6,"Tibet",-1.09452151182224,"2008.01",""
2008-01-01,2008,1,"Syphilis",669,"Xinjiang",-1.68475236892154,"2008.01",""
2008-01-01,2008,1,"Syphilis",237,"Yunnan",-1.50301454981894,"2008.01",""
2008-01-01,2008,1,"Syphilis",2938,"Zhejiang",0.0493938756743282,"2008.01",""
2008-02-01,2008,2,"Syphilis",376,"Anhui",-1.83955745386053,"2008.02",""
2008-02-01,2008,2,"Syphilis",231,"Beijing",-2.04277794344198,"2008.02",""
2008-02-01,2008,2,"Syphilis",462,"Chongqing",-1.65138156519416,"2008.02",""
2008-02-01,2008,2,"Syphilis",989,"Fujian",-2.08111146130899,"2008.02",""
2008-02-01,2008,2,"Syphilis",107,"Gansu",-2.00189198351493,"2008.02",""
2008-02-01,2008,2,"Syphilis",1778,"Guangdong",-2.19262598736822,"2008.02",""
2008-02-01,2008,2,"Syphilis",1612,"Guangxi",0.0430272415128142,"2008.02",""
2008-02-01,2008,2,"Syphilis",174,"Guizhou",-1.58423134898864,"2008.02",""
2008-02-01,2008,2,"Syphilis",100,"Hainan",-1.55593841494564,"2008.02",""
2008-02-01,2008,2,"Syphilis",97,"Hebei",-1.83149681088995,"2008.02",""
2008-02-01,2008,2,"Syphilis",358,"Heilongjiang",-2.3601876023962,"2008.02",""
2008-02-01,2008,2,"Syphilis",381,"Henan",-2.37336778494673,"2008.02",""
2008-02-01,2008,2,"Syphilis",319,"Hubei",-2.22517563031039,"2008.02",""
