"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Tuberculosis",5323,"Anhui",3.31679880081622,""
"2008.01",2008,1,"Tuberculosis",801,"Beijing",1.44392615471544,""
"2008.01",2008,1,"Tuberculosis",4345,"Chongqing",4.62627395395064,""
"2008.01",2008,1,"Tuberculosis",3016,"Fujian",3.1882312004481,""
"2008.01",2008,1,"Tuberculosis",4197,"Gansu",3.93142340307704,""
"2008.01",2008,1,"Tuberculosis",8985,"Guangdong",1.67020593038954,""
"2008.01",2008,1,"Tuberculosis",6789,"Guangxi",3.63354606475443,""
"2008.01",2008,1,"Tuberculosis",8527,"Guizhou",4.27001194403695,""
"2008.01",2008,1,"Tuberculosis",1307,"Hainan",3.81276298282018,""
"2008.01",2008,1,"Tuberculosis",4591,"Hebei",2.52191683745222,""
"2008.01",2008,1,"Tuberculosis",4364,"Heilongjiang",2.38004985986398,""
"2008.01",2008,1,"Tuberculosis",7890,"Henan",2.2731746255592,""
"2008.01",2008,1,"Tuberculosis",5335,"Hubei",1.85353005466936,""
"2008.01",2008,1,"Tuberculosis",6765,"Hunan",2.54448723872575,""
"2008.01",2008,1,"Tuberculosis",2414,"Inner Mongolia",3.250343084161,""
"2008.01",2008,1,"Tuberculosis",3746,"Jiangsu",1.48042496162941,""
"2008.01",2008,1,"Tuberculosis",4841,"Jiangxi",3.17395163990343,""
"2008.01",2008,1,"Tuberculosis",2372,"Jilin",1.93275350959369,""
"2008.01",2008,1,"Tuberculosis",2861,"Liaoning",1.77464139282631,""
"2008.01",2008,1,"Tuberculosis",470,"Ningxia",3.62714868610107,""
"2008.01",2008,1,"Tuberculosis",628,"Qinghai",0.665913235699585,""
"2008.01",2008,1,"Tuberculosis",3250,"Shaanxi",3.01545828938375,""
"2008.01",2008,1,"Tuberculosis",4691,"Shandong",2.74624366121585,""
"2008.01",2008,1,"Tuberculosis",1202,"Shanghai",5.41791223752255,""
"2008.01",2008,1,"Tuberculosis",2746,"Shanxi",2.5420287457156,""
"2008.01",2008,1,"Tuberculosis",9318,"Sichuan",4.20348408776435,""
"2008.01",2008,1,"Tuberculosis",477,"Tianjin",3.60176285476789,""
"2008.01",2008,1,"Tuberculosis",211,"Tibet",-1.2344906370318,""
"2008.01",2008,1,"Tuberculosis",124625,"Total",3.09773925106942,""
"2008.01",2008,1,"Tuberculosis",5339,"Xinjiang",1.48317268259993,""
"2008.01",2008,1,"Tuberculosis",3881,"Yunnan",3.64242001249395,""
"2008.01",2008,1,"Tuberculosis",3943,"Zhejiang",2.63295777809469,""
"2008.02",2008,2,"Tuberculosis",5497,"Anhui",3.56333488280312,""
"2008.02",2008,2,"Tuberculosis",741,"Beijing",0.967654920683075,""
"2008.02",2008,2,"Tuberculosis",3448,"Chongqing",2.83840326052516,""
"2008.02",2008,2,"Tuberculosis",2756,"Fujian",2.59951676747028,""
"2008.02",2008,2,"Tuberculosis",3523,"Gansu",2.95240642768817,""
"2008.02",2008,2,"Tuberculosis",8168,"Guangdong",1.09818527817657,""
"2008.02",2008,2,"Tuberculosis",5998,"Guangxi",2.68463134843212,""
"2008.02",2008,2,"Tuberculosis",6989,"Guizhou",2.85085058181757,""
"2008.02",2008,2,"Tuberculosis",1186,"Hainan",3.00262166551961,""
"2008.02",2008,2,"Tuberculosis",4230,"Hebei",1.96673767180663,""
"2008.02",2008,2,"Tuberculosis",3776,"Heilongjiang",1.59479263539954,""
"2008.02",2008,2,"Tuberculosis",8046,"Henan",2.38995671731923,""
"2008.02",2008,2,"Tuberculosis",5441,"Hubei",1.97926373279911,""
"2008.02",2008,2,"Tuberculosis",5977,"Hunan",1.58021491667531,""
"2008.02",2008,2,"Tuberculosis",2088,"Inner Mongolia",2.36144043417852,""
"2008.02",2008,2,"Tuberculosis",3883,"Jiangsu",1.66814356612363,""
"2008.02",2008,2,"Tuberculosis",4054,"Jiangxi",1.93153233517755,""
"2008.02",2008,2,"Tuberculosis",2339,"Jilin",1.86751823161813,""
"2008.02",2008,2,"Tuberculosis",2559,"Liaoning",1.09142214905459,""
"2008.02",2008,2,"Tuberculosis",386,"Ningxia",2.27701357694676,""
"2008.02",2008,2,"Tuberculosis",443,"Qinghai",-0.597282240985707,""
"2008.02",2008,2,"Tuberculosis",3033,"Shaanxi",2.50873555911709,""
"2008.02",2008,2,"Tuberculosis",4068,"Shandong",1.84073357283776,""
"2008.02",2008,2,"Tuberculosis",615,"Shanghai",0.692772323434724,""
"2008.02",2008,2,"Tuberculosis",2432,"Shanxi",1.90605740823095,""
"2008.02",2008,2,"Tuberculosis",7619,"Sichuan",2.60355253555351,""
"2008.02",2008,2,"Tuberculosis",398,"Tianjin",2.19685304555253,""
"2008.02",2008,2,"Tuberculosis",218,"Tibet",-1.17794908113721,""
"2008.02",2008,2,"Tuberculosis",110646,"Total",2.22756149825086,""
