"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Hepatitis E",103,"Anhui",-0.569126283266304,""
"2008.01",2008,1,"Hepatitis E",49,"Beijing",1.87822033345206,""
"2008.01",2008,1,"Hepatitis E",14,"Chongqing",-1.54289411310538,""
"2008.01",2008,1,"Hepatitis E",74,"Fujian",0.102135644827353,""
"2008.01",2008,1,"Hepatitis E",5,"Gansu",-1.24997681593109,""
"2008.01",2008,1,"Hepatitis E",178,"Guangdong",-0.875597101292585,""
"2008.01",2008,1,"Hepatitis E",42,"Guangxi",-1.3850058539066,""
"2008.01",2008,1,"Hepatitis E",1,"Guizhou",-1.99368113408232,""
"2008.01",2008,1,"Hepatitis E",3,"Hainan",-0.99073811759577,""
"2008.01",2008,1,"Hepatitis E",88,"Hebei",0.95144613590728,""
"2008.01",2008,1,"Hepatitis E",29,"Heilongjiang",-0.357905762029735,""
"2008.01",2008,1,"Hepatitis E",37,"Henan",-0.806221344970458,""
"2008.01",2008,1,"Hepatitis E",166,"Hubei",-0.269201980887475,""
"2008.01",2008,1,"Hepatitis E",25,"Hunan",-1.61733213004007,""
"2008.01",2008,1,"Hepatitis E",9,"Inner Mongolia",-0.478588539314163,""
"2008.01",2008,1,"Hepatitis E",284,"Jiangsu",0.240615018837416,""
"2008.01",2008,1,"Hepatitis E",31,"Jiangxi",-0.765188623890901,""
"2008.01",2008,1,"Hepatitis E",34,"Jilin",1.89523642051105,""
"2008.01",2008,1,"Hepatitis E",150,"Liaoning",1.61176579475088,""
"2008.01",2008,1,"Hepatitis E",3,"Ningxia",0.213412089184908,""
"2008.01",2008,1,"Hepatitis E",1,"Qinghai",-1.35481178297327,""
"2008.01",2008,1,"Hepatitis E",24,"Shaanxi",0.316391231683795,""
"2008.01",2008,1,"Hepatitis E",87,"Shandong",-0.362898259697082,""
"2008.01",2008,1,"Hepatitis E",71,"Shanghai",0.650894627434544,""
"2008.01",2008,1,"Hepatitis E",9,"Shanxi",-1.57405713999152,""
"2008.01",2008,1,"Hepatitis E",33,"Sichuan",-1.63362542259869,""
"2008.01",2008,1,"Hepatitis E",26,"Tianjin",2.35403321453523,""
"2008.01",2008,1,"Hepatitis E",0,"Tibet",-0.346519859437344,""
"2008.01",2008,1,"Hepatitis E",1843,"Total",-0.529302514494893,""
"2008.01",2008,1,"Hepatitis E",21,"Xinjiang",-0.200979905945086,""
"2008.01",2008,1,"Hepatitis E",35,"Yunnan",-1.29916737932232,""
"2008.01",2008,1,"Hepatitis E",211,"Zhejiang",0.708800212047206,""
"2008.02",2008,2,"Hepatitis E",131,"Anhui",-0.0226674693996047,""
"2008.02",2008,2,"Hepatitis E",40,"Beijing",1.05901519267335,""
"2008.02",2008,2,"Hepatitis E",15,"Chongqing",-1.51133090782014,""
"2008.02",2008,2,"Hepatitis E",56,"Fujian",-0.560212832482597,""
"2008.02",2008,2,"Hepatitis E",7,"Gansu",-0.84845462649242,""
"2008.02",2008,2,"Hepatitis E",159,"Guangdong",-1.24156619220864,""
"2008.02",2008,2,"Hepatitis E",73,"Guangxi",-0.654752004201814,""
"2008.02",2008,2,"Hepatitis E",4,"Guizhou",-1.82842382434968,""
"2008.02",2008,2,"Hepatitis E",1,"Hainan",-1.10948967068447,""
"2008.02",2008,2,"Hepatitis E",77,"Hebei",0.445502048762287,""
"2008.02",2008,2,"Hepatitis E",26,"Heilongjiang",-0.612078594548577,""
"2008.02",2008,2,"Hepatitis E",39,"Henan",-0.685918003650647,""
"2008.02",2008,2,"Hepatitis E",128,"Hubei",-0.921892918597474,""
"2008.02",2008,2,"Hepatitis E",22,"Hunan",-1.69873796321482,""
"2008.02",2008,2,"Hepatitis E",4,"Inner Mongolia",-1.53310565983689,""
